Fatal,Injured,LightingCondition,RoadSurface,latitude,longitude
0,1,Daylight,Dry,37.7463743,-122.4222581
0,1,Daylight,Dry,37.7695284,-122.450716
0,1,Daylight,Dry,37.7963529,-122.4117056
0,1,Daylight,Dry,37.7803142,-122.4185632
0,1,Daylight,Dry,37.7706682,-122.4124673
0,1,Daylight,Dry,37.7661371,-122.4288136
0,1,Daylight,Dry,37.7200229,-122.4383279
0,1,Daylight,Dry,37.7440347,-122.4542788
0,1,Daylight,Dry,37.7316292,-122.391893
0,1,Daylight,Dry,37.7780608,-122.3917637
0,1,Daylight,Dry,37.7832462,-122.4090403
0,1,Dark - street lights,Dry,37.7876818,-122.403397
0,1,Dark - street lights,Dry,37.7745842,-122.4811275
0,1,Daylight,Dry,37.7800837,-122.4354173
0,1,Dark - street lights,Dry,37.7868566,-122.4199049
0,0,Dark - street lights,Dry,37.7822646,-122.4102691
0,1,Daylight,Dry,37.7797645,-122.4071059
0,0,Daylight,Dry,37.73102009999999,-122.4719164
0,1,,Dry,38.7985123,-83.54532119999999
0,1,Daylight,Dry,37.7973385,-122.397142
0,1,Dark - street lights,Dry,37.7864392,-122.4079991
0,1,Daylight,Dry,37.7751326,-122.4191837
0,1,Dark - street lights,Dry,37.7545666,-122.4065016
0,1,Daylight,Dry,37.7729898,-122.4458971
0,1,Dark - street lights,Dry,37.7854682,-122.4195957
0,1,Dark - street lights,Dry,37.7329447,-122.3788611
0,1,Daylight,Dry,37.7558338,-122.4122209
0,2,Daylight,Dry,37.7729898,-122.4458971
0,1,Dark - street lights,Dry,37.776658,-122.4398343
0,1,Dark - street lights,Dry,37.78417450000001,-122.4786118
0,1,Dark - street lights,Dry,37.7754586,-122.4105737
0,1,Daylight,Dry,37.7876185,-122.4251491
0,1,Daylight,Dry,37.778389,-122.448879
0,1,Dark - street lights,Dry,37.7919285,-122.402595
0,1,Daylight,Dry,37.7576968,-122.421208
0,1,Daylight,Dry,37.73102009999999,-122.4719164
